,番号,jRCT登録ID番号https://jrct.niph.go.jp,先進医療技術名,適応症,技術の概要
K,1,jRCTs031180141,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法,上皮性卵巣がん、卵管がん又は原発性腹膜がん,"局所麻酔または硬膜外麻酔下の小開腹を行い、腹腔ポートを留置する。このポートより、カルボプラチンを腹腔内に直接投与する。また、全身化学療法としてパクリタキセル経静脈内投与を併用する。
  この化学療法は21日間を1コースとして行い、パクリタキセルは第1日目、第8日目及び第15日目に標準量（80mg/m2 ）を経静脈投与、カルボプラチンを第1日目に標準量（※AUC6 (mg/L)・h）を腹腔内投与し、計6コースを行う。※AUC : area under the blood concentration time curve(薬物血中濃度－時間曲線下面積)"
K,2,,,-,-
K,3,jRCTs041180023,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法,肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,PEM+CDDP併用療法は、1日目にPEMは500mg/m2とCDDPは75 mg/m2を投与し、3週毎に4回投与する。進行非扁平上皮非小細胞肺癌に対する有効性、および安全性が確立した治療であり、さらには術後補助化学療法としても期待されている治療法である。
K,4,jRCTs022180029,コレステロール塞栓症に対する血液浄化療法,コレステロール塞栓症,動脈硬化性プラークの破綻によりコレステロール結晶が飛散し、末梢小動脈を塞栓し、他臓器に重篤な障害が発生するコレステロール塞栓症のうち、血管内操作および血管外科的手術が誘発因子となり、腎機能障害を示した患者を対象とし、リポソーバーLA－15を用いた血液浄化療法と薬物治療の併用により、腎機能を改善させられるかを検証する。
K,5,"jRCTc030190194
",NKT細胞を用いた免疫療法,頭頸部扁平上皮がん（診断時のステージがIV期であって、初回治療として計画された一連の治療後の完全奏功の判定から八週間以内の症例（当該期間内に他の治療を実施していないものに限る。）に限る。）,標準治療終了後の頭頸部扁平上皮がんを適応症とした、末梢血単核球由来の培養細胞にNKT 細胞特異的リガントを提示させて鼻粘膜に投与し、内在性NKT 細胞を活性化させ抗腫瘍効果を得る新規の免疫細胞治療である。
K,6,,C型肝炎ウイルスに起因する肝硬変に対する自己骨髄細胞投与療法,C型肝炎ウイルスに起因する肝硬変（Child－Pugh分類による点数が七点以上のものであって、従来の治療法（肝移植術を除く。）ではその治療に係る効果が認められないものに限る。）,全身麻酔下で患者の腸骨より骨髄液を約400ml採取の上、骨髄採取キットにより骨片を除去し（血液疾患の骨髄移植に準じて）、無菌的に単核球分画の分離精製を行い、末梢静脈から約2-3時間かけて投与する。
K,7,jRCTs032180229,経皮的乳がんラジオ波焼灼療法,早期乳がん（長径が一・五センチメートル以下のものに限る。）,全身麻酔導入後、通常は、RFA治療前にセンチネルリンパ節生検を施行する。RFAの手技はUSで腫瘍を確認し穿刺部位を決定したのち、穿刺予定部位を消毒、局所麻酔を行なう。US画像をガイドとして電極針を腫瘍に刺入して、ジェネレーターというラジオ波発生装置に接続し、通電を開始する。1回の通電につき通常10分前後でインピーダンスが上昇し、通電完了する。通電終了後は電極針を抜去する。USを再度撮像し、治療効果および合併症の有無を観察し、治療終了となる。治療時間は検査、準備も含めて約20分である。RFA施行後、数週間後より通常の乳房照射を追加し局所治療を終了する
K,8,jRCTs031180169,インターフェロンα皮下投与及びジドブジン経口投与の併用療法,成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,くすぶり型と慢性型成人T 細胞白血病リンパ腫（ATL）に対してIFNα/AZT 療法群とWatchful waiting群の2群に無作為割り付けを実施。主要評価項目として無イベント生存期間を両群で比較する多施設共同無作為割り付け試験。組み込み予定症例は片群37例、両群74例。登録期間3年、追跡期間2年、総試験期間5年である。IFNα/AZT 療法群に割りつけられた症例には、レトロビル®カプセル（600 mg）を連日経口投与する。また、IFNαとしてスミフェロン®注DS 300万単位を1サイクル目には1日1回連日皮下投与し、day8から600万単位に増量する。2サイクル目以降はday1から600万単位を投与する。1治療サイクルを28日（4週）とし、 第4治療サイクルからはレトロビル®カプセル（400 mg）を連日経口投与、スミフェロン®注DS 300万単位を連日皮下投与に減量する。当初10日間入院し、以後外来治療を増悪または毒性中止まで継続する。この間、2週毎に外来受診し、日和見感染予防薬の連日内服と定期的な診察と血液/画像検査を行う。
K,9,jRCTs031180432,腹腔鏡下センチネルリンパ節生検,早期胃がん,本試験は術前診断T1N0M0、腫瘍長径4cm以下と診断された単発性の早期胃癌症例を対象として、「SNをLN転移の指標とした個別化手術群」を行い、その根治性・安全性を検証する第II相多施設共同単群試験である。すべての症例にSN生検を行い、術中SN転移陰性の場合にはSN流域切除を原則とした縮小胃切除（噴門側胃切除、幽門保存胃切除、胃部分切除、分節切除）を行って「縮小手術群」（A群）とする。流域切除範囲によって縮小手術が困難な場合には従来通りの胃切除術（幽門側胃切除術・胃全摘術）（B群）を実施する。また、SN転移が陽性の場合にはD2LN郭清と定型胃切除（幽門側胃切除術・胃全摘術）（C群）を行う。Primary Endpointは5年無再発生存割合、Secondary EndpointsはSN同定率、転移検出感度、3年無再発生存割合、3年・5年全生存割合、術後QOLとする。Primary Endpointすなわち個別化手術の根治性・安全性の評価は、本試験登録A～C群（個別化手術群）の手術成績とこれまで報告されてきた同じ早期胃癌に対する手術成績を比較し、A群のみの部分集団での予後についてもSecondary Endpontとして同時に検証する。術後QOLに関しては「個別化手術群」内での比較も行う。
K,10,,,-,-
K,11,,,-,-
K,12,jRCTs071180052,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法,全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,全身性エリテマトーデス患者を対象に、初回ステロイド治療開始と同時に、抗血小板薬（クロピドグレル硫酸塩）、高脂血症治療剤（ピタバスタチンカルシウム）、ビタミンE（トコフェロール酢酸エステル）の3剤を3ヶ月間併用投与することによる大腿骨頭壊死の発生抑制効果を検討する多施設共同単群介入試験である。主要評価項目は治療開始6ヶ月後のMRIによる両股関節の大腿骨頭壊死症発生の有無である。予定組み込み症例は150例。ヒストリカルコントロールを比較対照とし、統計学的有意差をもって大腿骨頭壊死症発生率が低下した場合、本介入が有効であると判断する。
K,13,"jRCTc040190130
",NKT細胞を用いた免疫療法　,肺がん（小細胞肺がんを除き、ステージがIIA期、IIB期又はIIIA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,　原発性肺がんは年間死亡者数が7万人を超えて更に増加傾向であり，その大半を占める進行期症例は化学療法により治療されるものの治癒は困難である。完全切除後肺がんに用いられる補助化学療法としての抗がん剤には，シスプラチン，ビノレルビンなどが用いられ，再発死亡率を減少させることが証明されているが，それは10～20%程度と不充分である。NKT細胞は特異的リガンドであるαガラクトシルセラミドにより活性化すると強力な抗腫瘍効果を示すと同時に，他の免疫担当細胞を活性化するアジュバント効果を示し，抗腫瘍効果を発揮する。体内NKT細胞の活性化を誘導するために，末梢血から成分採血で単核球を採取して1～2週間培養を行い，樹状細胞を誘導する。投与前にαガラクトシルセラミドを樹状細胞に提示させ，本人の静脈内へ培養1週目と2週目に点滴投与する。投与されたαガラクトシルセラミド提示細胞が体内NKT細胞を活性化し，抗腫瘍効果を発揮する。進行期または再発非小細胞肺がん患者に対して，本治療法を開発した千葉大学において2001年以降，24例の臨床試験の報告がなされている。本試験の目的は，II-IIIA期非小細胞肺がん完全切除例で，術後補助化学療法後にαガラクトシルセラミドパルス樹状細胞を用いた免疫療法の有無で2群にランダム化する第II相試験を行い，無再発生存期間を主要評価項目として，その有効性，安全性を検討し，新たな治療の選択法を開発することである。予定組み込み症例は片群28例、両群56例である。総試験期間は5年を予定している。
K,14,jRCTs031180254,腹膜偽粘液腫に対する完全減量切除術における術中のマイトマイシンＣ腹腔内投与及び術後のフルオロウラシル腹腔内投与の併用療法　,腹膜偽粘液腫（画像検査により肝転移及びリンパ節転移が認められないものであって、放射線治療を行っていないものに限る。）,腹膜偽粘液腫の患者を対象に、CRS（右壁側腹膜切除、右半結腸切除、左壁側腹膜切除、骨盤腹膜切除、低位前方切除、子宮・付属品切除、右横隔膜下腹膜切除、肝被膜切除、胆摘、左横隔膜下腹膜切除、大網切除、脾摘、小網切除、胃切除等の組み合わせ）を行う。残存病変の大きさが2.5mm以下となった場合を完全減量切除とする。完全減量切除が達成できた症例に、MMC10mg/m2を2000～3000mLの41℃～42℃の温生食に溶解し、高温を維持したまま1時間腹腔内に還流させる（HIPEC）。HIPEC終了後閉腹する。術翌日より、腹腔内に5-FU15mg/kg/NS1000mLを腹腔内に投与し、24時間毎に薬剤の入れ替えを行う。これを4日間連続で繰り返す。本治療法終了後は、5年間経過観察を行い、5年生存割合を主要エンドポイントとする、その他、無再発生存期間、無病生存期間、全生存期間を推定する。安全性はプロトコール治療終了後30日後まで、有害事象の収集を行い、CTCAEｖ3.0に従ってGrade判定を行う。
